2025/08/05 19:05:25 GET /api/shop-dashboard/revenue-analytics/2 | Status: 200 | Duration: 863.167µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:26 GET /api/shop-dashboard/revenue-analytics/2 | Status: 200 | Duration: 584.083µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:26 GET /api/shop-dashboard/revenue-analytics/2 | Status: 200 | Duration: 461.083µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:26 GET /api/shop-dashboard/revenue-analytics/2 | Status: 200 | Duration: 795.667µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:31 GET /api/shop-dashboard/delivery-stats/2 | Status: 200 | Duration: 1.741208ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:31 GET /api/shop-dashboard/order-analytics/2 | Status: 200 | Duration: 830.208µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:31 GET /api/shop-dashboard/top-selling-products/2 | Status: 200 | Duration: 710.75µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:31 GET /api/shop-dashboard/performance-metrics/2 | Status: 200 | Duration: 1.595833ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:31 GET /api/shop-dashboard/customer-insights/2 | Status: 200 | Duration: 1.021625ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:31 GET /api/shop-dashboard/customer-insights/2 | Status: 200 | Duration: 956.209µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:32 GET /api/shop-dashboard/revenue-analytics/2 | Status: 200 | Duration: 513.958µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:32 GET /api/shop-dashboard/delivery-stats/2 | Status: 200 | Duration: 795.084µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:32 GET /api/shop-dashboard/order-analytics/2 | Status: 200 | Duration: 829.708µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:32 GET /api/shop-dashboard/top-selling-products/2 | Status: 200 | Duration: 703.792µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:32 GET /api/shop-dashboard/performance-metrics/2 | Status: 200 | Duration: 697.167µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:32 GET /api/shop-dashboard/customer-insights/2 | Status: 200 | Duration: 547.75µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:33 GET /api/shop-dashboard/customer-insights/2 | Status: 200 | Duration: 691.209µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:36 GET /api/shop-dashboard/revenue-analytics/2 | Status: 200 | Duration: 625.208µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:39 GET /api/product-category/2 | Status: 200 | Duration: 1.38125ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:39 GET /api/products/shop/2 | Status: 200 | Duration: 722.875µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:39 GET /api/order/shop/2 | Status: 200 | Duration: 2.919167ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:06:03 GET /api/order/shop/2 | Status: 200 | Duration: 2.198125ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:06:08 GET /api/order/shop/2 | Status: 200 | Duration: 4.187209ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:06:11 GET /api/shop/owner | Status: 200 | Duration: 659.75µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:06:15 GET /api/products/all | Status: 200 | Duration: 1.173541ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:06:18 GET /api/products/all | Status: 200 | Duration: 6.207666ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:06:19 GET /api/products/all | Status: 200 | Duration: 18.771584ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:06:20 GET /api/products/all | Status: 200 | Duration: 1.90975ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:06:21 GET /api/products/all | Status: 200 | Duration: 1.214459ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:06:22 GET /api/products/all | Status: 200 | Duration: 1.785333ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:01 GET /api/products/all | Status: 200 | Duration: 5.731166ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
